image_id;tma_number;roll;frame;view_direction;altitude;azimuth;date_year;date_month;date_day;cam_id;location
CA183131L0057;1831;31L;57;L;20360;1.038;1966;12;18;32;peninsula
CA207331L0112;2073;31L;112;L;;2.870;1967;12;0;32;peninsula
CA182931L0020;1829;31L;20;L;20150;2.851;1966;12;18;32;peninsula
CA181833R0063;1818;33R;63;R;20700;1.109;1966;0;0;32;peninsula
CA207432V0191;2074;32V;191;V;;1.033;1967;12;0;32;peninsula
CA180533R0023;1805;33R;23;R;;1.048;1966;0;0;32;peninsula
CA164433R0049;1644;33R;49;R;25000;2.058;1965;2;18;32;peninsula
CA182531L0044;1825;31L;44;L;20380;2.925;1966;12;18;32;peninsula
CA212433R0063;2124;33R;63;R;;984.467;1968;11;23;32;peninsula
CA183032V0003;1830;32V;3;V;23300;1.029;1966;0;0;32;peninsula
CA213433R0288;2134;33R;288;R;;908.952;1968;12;20;32;peninsula
CA184433R0170;1844;33R;170;R;19200;1.122;1966;12;27;32;peninsula
CA183233R0035;1832;33R;35;R;20360;2.841;1966;12;18;32;peninsula
CA181532V0061;1815;32V;61;V;23300;1.121;1966;0;0;32;peninsula
CA183032V0042;1830;32V;42;V;23300;1.029;1966;0;0;32;peninsula
CA183431L0049;1834;31L;49;L;20500;3.586;1966;11;28;32;peninsula
CA181633R0099;1816;33R;99;R;16000;1.120;1966;0;0;32;peninsula
CA182132V0174;1821;32V;174;V;16000;2.849;1966;11;18;32;peninsula
CA180731L0027;1807;31L;27;L;20000;2.870;1966;0;0;32;peninsula
CA207331L0104;2073;31L;104;L;;2.870;1967;12;0;32;peninsula
CA181631L0109;1816;31L;109;L;16000;1.120;1966;0;0;32;peninsula
CA216033R0014;2160;33R;14;R;;1.096;1969;1;8;32;peninsula
CA164433R0080;1644;33R;80;R;25000;2.058;1965;2;18;32;peninsula
CA182131L0140;1821;31L;140;L;16000;2.849;1966;11;18;32;peninsula
CA174333R0226;1743;33R;226;R;25000;2.913;1966;1;29;32;peninsula
CA184933R0198;1849;33R;198;R;19200;2.837;1966;12;27;32;peninsula
CA183133R0004;1831;33R;4;R;20360;1.038;1966;12;18;32;peninsula
CA182331L0057;1823;31L;57;L;20000;0.3139;1966;11;25;32;peninsula
CA181832V0068;1818;32V;68;V;20700;1.109;1966;0;0;32;peninsula
CA180731L0004;1807;31L;4;L;20000;2.870;1966;0;0;32;peninsula
CA181333R0163;1813;33R;163;R;20000;1.118;1966;0;0;32;peninsula
CA180033R0059;1800;33R;59;R;;2.925;1966;0;0;32;peninsula
CA180332V0183;1803;32V;183;V;;1.084;1966;0;0;32;peninsula
CA182133R0180;1821;33R;180;R;16000;2.849;1966;11;18;32;peninsula
CA182531L0027;1825;31L;27;L;20380;2.925;1966;12;18;32;peninsula
CA199332V0195;1993;32V;195;V;25000;2.932;1967;1;5;32;peninsula
CA184632V0336;1846;32V;336;V;19200;1.111;1966;12;27;32;peninsula
CA181732V0026;1817;32V;26;V;20700;2.877;1966;0;0;32;peninsula
CA182131L0131;1821;31L;131;L;16000;2.849;1966;11;18;32;peninsula
CA183231L0013;1832;31L;13;L;20360;2.841;1966;12;18;32;peninsula
CA196931L0167;1969;31L;167;L;26000;1.111;1967;1;7;32;peninsula
CA212433R0092;2124;33R;92;R;;984.467;1968;11;23;32;peninsula
CA182733R0051;1827;33R;51;R;20380;2.934;1966;12;18;32;peninsula
CA196832V0118;1968;32V;118;V;26000;2.913;1967;1;7;32;peninsula
CA164431L0072;1644;31L;72;L;25000;2.058;1965;2;18;32;peninsula
CA183433R0032;1834;33R;32;R;20500;3.586;1966;11;28;32;peninsula
CA181231L0059;1812;31L;59;L;20340;2.867;1966;12;18;32;peninsula
CA181632V0115;1816;32V;115;V;16000;1.120;1966;0;0;32;peninsula
CA181633R0014;1816;33R;14;R;16000;1.120;1966;0;0;32;peninsula
CA182233R0104;1822;33R;104;R;20500;1.810;1966;11;23;32;peninsula
CA183432V0045;1834;32V;45;V;20500;3.586;1966;11;28;32;peninsula
CA207431L0186;2074;31L;186;L;;1.033;1967;12;0;32;peninsula
CA216731L0362;2167;31L;362;L;;1.103;1969;1;12;32;peninsula
CA182332V0095;1823;32V;95;V;20000;0.3139;1966;11;25;32;peninsula
CA182131L0041;1821;31L;41;L;16000;2.849;1966;11;18;32;peninsula
CA164433R0029;1644;33R;29;R;25000;2.058;1965;2;18;32;peninsula
CA180031L0025;1800;31L;25;L;;2.925;1966;0;0;32;peninsula
CA207433R0181;2074;33R;181;R;;1.033;1967;12;0;32;peninsula
CA184932V0237;1849;32V;237;V;19200;2.837;1966;12;27;32;peninsula
CA164432V0072;1644;32V;72;V;25000;2.058;1965;2;18;32;peninsula
CA164431L0024;1644;31L;24;L;25000;2.058;1965;2;18;32;peninsula
CA181032V0170;1810;32V;170;V;18000;1.071;1966;0;0;32;peninsula
CA196931L0157;1969;31L;157;L;26000;1.111;1967;1;7;32;peninsula
CA183031L0026;1830;31L;26;L;23300;1.029;1966;0;0;32;peninsula
CA180132V0163;1801;32V;163;V;;1.139;1966;0;0;32;peninsula
CA182532V0107;1825;32V;107;V;20380;2.925;1966;12;18;32;peninsula
CA182631L0099;1826;31L;99;L;20380;1.133;1966;12;18;32;peninsula
CA182231L0037;1822;31L;37;L;20500;1.810;1966;11;23;32;peninsula
CA180131L0158;1801;31L;158;L;;1.139;1966;0;0;32;peninsula
CA184631L0289;1846;31L;289;L;19200;1.111;1966;12;27;32;peninsula
CA181633R0139;1816;33R;139;R;16000;1.120;1966;0;0;32;peninsula
CA207433R0193;2074;33R;193;R;;1.033;1967;12;0;32;peninsula
CA181332V0182;1813;32V;182;V;20000;1.118;1966;0;0;32;peninsula
CA180732V0003;1807;32V;3;V;20000;2.870;1966;0;0;32;peninsula
CA213432V0289;2134;32V;289;V;;908.952;1968;12;20;32;peninsula
CA182232V0059;1822;32V;59;V;20500;1.810;1966;11;23;32;peninsula
CA181631L0142;1816;31L;142;L;16000;1.120;1966;0;0;32;peninsula
CA184632V0383;1846;32V;383;V;19200;1.111;1966;12;27;32;peninsula
CA207532V0330;2075;32V;330;V;;2.799;1967;12;0;32;peninsula
CA184433R0150;1844;33R;150;R;19200;1.122;1966;12;27;32;peninsula
CA184532V0227;1845;32V;227;V;19200;2.909;1966;12;27;32;peninsula
CA182332V0065;1823;32V;65;V;20000;0.3139;1966;11;25;32;peninsula
CA216632V0267;2166;32V;267;V;;1.117;1969;1;12;32;peninsula
CA183233R0066;1832;33R;66;R;20360;2.841;1966;12;18;32;peninsula
CA216532V0254;2165;32V;254;V;;2.883;1969;1;12;32;peninsula
CA181831L0049;1818;31L;49;L;20700;1.109;1966;0;0;32;peninsula
CA216631L0284;2166;31L;284;L;;1.117;1969;1;12;32;peninsula
CA182133R0069;1821;33R;69;R;16000;2.849;1966;11;18;32;peninsula
CA181232V0046;1812;32V;46;V;20340;2.867;1966;12;18;32;peninsula
CA182231L0080;1822;31L;80;L;20500;1.810;1966;11;23;32;peninsula
CA174431L0253;1744;31L;253;L;25000;1.115;1966;1;29;32;peninsula
CA183132V0069;1831;32V;69;V;20360;1.038;1966;12;18;32;peninsula
CA216132V0074;2161;32V;74;V;;2.909;1969;1;8;32;peninsula
CA216632V0270;2166;32V;270;V;;1.117;1969;1;12;32;peninsula
CA182633R0099;1826;33R;99;R;20380;1.133;1966;12;18;32;peninsula
CA196531L0006;1965;31L;6;L;26000;2.933;1967;1;7;32;peninsula
CA212131L0040;2121;31L;40;L;;2.908;1968;11;23;32;peninsula
CA183431L0002;1834;31L;2;L;20500;3.586;1966;11;28;32;peninsula
CA182433R0007;1824;33R;7;R;20500;1.798;1966;11;25;32;peninsula
CA183231L0033;1832;31L;33;L;20360;2.841;1966;12;18;32;peninsula
CA182131L0090;1821;31L;90;L;16000;2.849;1966;11;18;32;peninsula
CA216432V0220;2164;32V;220;V;;1.121;1969;1;12;32;peninsula
CA182131L0053;1821;31L;53;L;16000;2.849;1966;11;18;32;peninsula
CA214233R0184;2142;33R;184;R;;2.967;1968;12;23;32;peninsula
CA199432V0207;1994;32V;207;V;25000;1.141;1967;1;5;32;peninsula
CA182631L0116;1826;31L;116;L;20380;1.133;1966;12;18;32;peninsula
CA212332V0029;2123;32V;29;V;;2.855;1968;11;18;32;peninsula
CA181431L0034;1814;31L;34;L;23300;2.890;1966;0;0;32;peninsula
CA181231L0075;1812;31L;75;L;20340;2.867;1966;12;18;32;peninsula
CA207331L0124;2073;31L;124;L;;2.870;1967;12;0;32;peninsula
CA181531L0076;1815;31L;76;L;23300;1.121;1966;0;0;32;peninsula
CA184733R0060;1847;33R;60;R;19200;2.916;1966;12;27;32;peninsula
CA184331L0027;1843;31L;27;L;19200;1.108;1966;12;27;32;peninsula
CA181233R0039;1812;33R;39;R;20340;2.867;1966;12;18;32;peninsula
CA183333R0127;1833;33R;127;R;20380;1.110;1966;12;18;32;peninsula
CA183333R0024;1833;33R;24;R;20380;1.110;1966;12;18;32;peninsula
CA196731L0074;1967;31L;74;L;26000;1.079;1967;1;7;32;peninsula
CA213533R0315;2135;33R;315;R;;1.590;1968;12;20;32;peninsula
CA216033R0015;2160;33R;15;R;;1.096;1969;1;8;32;peninsula
CA207531L0286;2075;31L;286;L;;2.799;1967;12;0;32;peninsula
CA181332V0081;1813;32V;81;V;20000;1.118;1966;0;0;32;peninsula
CA181533R0009;1815;33R;9;R;23300;1.121;1966;0;0;32;peninsula
CA181532V0062;1815;32V;62;V;23300;1.121;1966;0;0;32;peninsula
CA183333R0133;1833;33R;133;R;20380;1.110;1966;12;18;32;peninsula
CA181733R0025;1817;33R;25;R;20700;2.877;1966;0;0;32;peninsula
CA184332V0073;1843;32V;73;V;19200;1.108;1966;12;27;32;peninsula
CA212332V0030;2123;32V;30;V;;2.855;1968;11;18;32;peninsula
CA182232V0078;1822;32V;78;V;20500;1.810;1966;11;23;32;peninsula
CA181631L0022;1816;31L;22;L;16000;1.120;1966;0;0;32;peninsula
CA180031L0077;1800;31L;77;L;;2.925;1966;0;0;32;peninsula
CA182432V0074;1824;32V;74;V;20500;1.798;1966;11;25;32;peninsula
CA182133R0022;1821;33R;22;R;16000;2.849;1966;11;18;32;peninsula
CA216033R0008;2160;33R;8;R;;1.096;1969;1;8;32;peninsula
CA183331L0017;1833;31L;17;L;20380;1.110;1966;12;18;32;peninsula
CA181633R0157;1816;33R;157;R;16000;1.120;1966;0;0;32;peninsula
CA182631L0100;1826;31L;100;L;20380;1.133;1966;12;18;32;peninsula
CA196631L0048;1966;31L;48;L;26000;2.899;1967;1;7;32;peninsula
CA183331L0094;1833;31L;94;L;20380;1.110;1966;12;18;32;peninsula
CA184632V0283;1846;32V;283;V;19200;1.111;1966;12;27;32;peninsula
CA164431L0085;1644;31L;85;L;25000;2.058;1965;2;18;32;peninsula
CA181232V0052;1812;32V;52;V;20340;2.867;1966;12;18;32;peninsula
CA182233R0012;1822;33R;12;R;20500;1.810;1966;11;23;32;peninsula
CA180733R0013;1807;33R;13;R;20000;2.870;1966;0;0;32;peninsula
CA181031L0130;1810;31L;130;L;18000;1.071;1966;0;0;32;peninsula
CA216132V0064;2161;32V;64;V;;2.909;1969;1;8;32;peninsula
CA182932V0018;1829;32V;18;V;20150;2.851;1966;12;18;32;peninsula
CA182732V0039;1827;32V;39;V;20380;2.934;1966;12;18;32;peninsula
CA181032V0135;1810;32V;135;V;18000;1.071;1966;0;0;32;peninsula
CA207333R0131;2073;33R;131;R;;2.870;1967;12;0;32;peninsula
CA182133R0117;1821;33R;117;R;16000;2.849;1966;11;18;32;peninsula
CA180331L0180;1803;31L;180;L;;1.084;1966;0;0;32;peninsula
CA182532V0078;1825;32V;78;V;20380;2.925;1966;12;18;32;peninsula
CA181233R0038;1812;33R;38;R;20340;2.867;1966;12;18;32;peninsula
CA164433R0059;1644;33R;59;R;25000;2.058;1965;2;18;32;peninsula
CA196631L0033;1966;31L;33;L;26000;2.899;1967;1;7;32;peninsula
CA184732V0038;1847;32V;38;V;19200;2.916;1966;12;27;32;peninsula
